time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
82500,500.0,82399,-0.4538058638572693,0.0003,-13.97629165649414,0.2838866,0.004960536025464535,0.09206555783748627,,,,,
83000,500.0,82899,0.056884169578552246,0.0003,-13.927210807800293,0.8598592000000002,0.0049568782560527325,0.0872696042060852,,,,,
83500,500.0,83399,3.0145201683044434,0.0003,-13.997344017028809,0.45953720000000003,0.004778548609465361,0.1413891315460205,,,,,
84000,500.0,83899,-1.625939130783081,0.0003,-13.695747375488281,1.6388164,0.004593813791871071,0.10814739763736725,,,,,
84000,,,,,,,,,3.1010924,168,11,7399,500.0
84500,500.0,84399,0.5929539203643799,0.0003,-13.46115493774414,0.9065677999999998,0.004716048948466778,0.10277616232633591,,,,,
85000,500.0,84899,-2.60473370552063,0.0003,-13.23055648803711,1.1562434,0.004594508092850447,0.17834952473640442,,,,,
85500,500.0,85399,-0.15324878692626953,0.0003,-13.404853820800781,6.4426863999999995,0.004407111555337906,0.06752897799015045,,,,,
86000,500.0,85899,2.1763596534729004,0.0003,-13.311029434204102,4.0852548,0.004363540094345808,0.5067631602287292,,,,,
86000,,,,,,,,,3.22527132,172,11,7576,500.0
86500,500.0,86399,-0.13799309730529785,0.0003,-13.157940864562988,2.9571748,0.004496126435697079,0.10466926544904709,,,,,
87000,500.0,86899,0.12208294868469238,0.0003,-12.695564270019531,4.2793162,0.004309648647904396,0.34166085720062256,,,,,
87500,500.0,87399,-0.9279878735542297,0.0003,-12.541844367980957,9.468019400000001,0.004256205167621374,0.06617912650108337,,,,,
88000,500.0,87899,1.5824799537658691,0.0003,-12.540979385375977,6.3046842,0.004157901741564274,0.0864882618188858,,,,,
88000,,,,,,,,,3.3527475,176,11,7755,500.0
88500,500.0,88399,2.5412192344665527,0.0003,-12.474287986755371,7.729925200000001,0.004118058364838362,0.06823277473449707,,,,,
89000,500.0,88899,-2.9843149185180664,0.0003,-12.02968978881836,5.6942645999999995,0.003964949864894152,0.09351573884487152,,,,,
89500,500.0,89399,-0.0557178258895874,0.0003,-12.291748046875,5.035488,0.00408140430226922,0.06520257145166397,,,,,
90000,500.0,89899,-0.26557105779647827,0.0003,-11.876744270324707,4.7357982,0.003875525901094079,0.05421310290694237,,,,,
90000,,,,,,,,,3.6864794,180,11,7931,500.0
90500,500.0,90399,0.44660812616348267,0.0003,-11.754276275634766,4.5711348,0.0038113901391625404,0.06262821704149246,,,,,
91000,500.0,90899,-0.28196898102760315,0.0003,-11.613456726074219,11.6892216,0.003832804737612605,0.0632643923163414,,,,,
91500,500.0,91399,1.1196792125701904,0.0003,-11.553375244140625,10.653441599999999,0.003722341498360038,0.09257568418979645,,,,,
92000,500.0,91899,-1.1609071493148804,0.0003,-11.390545845031738,17.3526452,0.0036251721903681755,0.061340607702732086,,,,,
92000,,,,,,,,,3.7801595900000002,184,11,8109,500.0
92500,500.0,92399,-2.3014533519744873,0.0003,-11.20927619934082,14.437337200000002,0.0036019966937601566,0.1415092945098877,,,,,
93000,500.0,92899,-2.0328314304351807,0.0003,-11.259117126464844,19.574817799999998,0.003450027434155345,0.048310454934835434,,,,,
